start	end	text
0	12000	as always Hugo the what am I gonna pick for a name here the the master of Kaggle the master
12000	21720	of Kaggle how's the mischievous I went from like number 20 and I was like on cloud nine
21720	26080	you know like fuck I'm gonna beat this and like now I'm like a hundred something I'm
26080	30840	just like dude what I talked to a co-worker about it and he was like oh he's doing that
30840	35880	challenge I thought about doing it and I was like I don't know I think it's pretty tough
35880	40800	apparently I mean I guess makes sense one million dollar prize pool you know so it's
40800	49200	a lot of cash we're joined next by the scrolls one yeah the scrolls one joined next by Leo
49800	57120	Leo you know you get one step closer to being a free man every week we see you you think
57120	63480	you'll become more depressed or less depressed once you don't have a job oh definitely less
63480	70440	okay I feel like a lot of it is control over your time okay not bad I'm joined next by
70440	76000	by the man himself we got Sean welcome back is this an indicator of crypto's position
76000	81440	in the markets you joining or I come back on this podcast when he thought about 2k
85040	89920	only times I've ever run this podcast I went into pub 2k so PSI
